#
# Set Course data
#
# latitude [°] ; longitude [°] ; MSL altitude [m]; time to the next position [ms]; vehicle orientation [°]


48.000000;13.000000;0.0;1000;0
48.000000;13.000000;0.3;9900;0
48.000000;13.000134;0.3;9900;0
48.000090;13.000134;0.3;9900;0
48.000090;12.999866;0.3;9900;0
47.999910;12.999866;0.3;9900;0
47.999910;13.000134;0.3;9900;0
48.000000;13.000000;0.3;1000;0

#48.000000;13.000000;0.0;1000;0
#48.000000;13.000000;0.3;8000;0
#48.000000;13.000134;0.3;8000;0
#48.000090;13.000134;0.3;8000;0
#48.000090;12.999866;0.3;8000;0
#47.999910;12.999866;0.3;8000;0
#47.999910;13.000134;0.3;8000;0
#48.000000;13.000000;0.3;1000;0

